price,room,space,name,link
180.000€,3 hab.,100 m²,"Chalet pareado en Alt, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/94907730/
133.000€,1 hab.,78 m²,"Piso en Pare Manjon, 39, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/97239118/
219.000€,3 hab.,80 m²,"Piso en calle del Tossal, s/n, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/97052843/
238.000€,3 hab.,132 m²,"Piso en La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/95768371/
150.000€,3 hab.,75 m²,"Piso en calle de la Mare de Déu de Lorda, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96536043/
115.000€,3 hab.,69 m²,"Piso en calle de la Gitanilla, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96324943/
93.000€,3 hab.,60 m²,"Piso en calle del Pare Manjón, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96426180/
110.000€,2 hab.,59 m²,"Piso en calle de Finestrelles, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96715493/
117.000€,3 hab.,51 m²,"Piso en calle de Finestrelles, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96634522/
80.000€,3 hab.,57 m²,"Piso en calle del Pare Manjón, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/95967853/
169.900€,3 hab.,70 m²,"Piso en calle almassora, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/95787242/
185.000€,3 hab.,111 m²,"Piso en calle de Vicenç Montal, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/94304329/
50.000€,2 hab.,60 m²,"Piso en calle del Turó de la Trinitat, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/94106603/
99.000€,1 hab.,45 m²,"Ático en calle de Peníscola, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/95910624/
93.600€,2 hab.,58 m²,"Piso en calle PADRE PÉREZ DEL PULGAR, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96943378/
99.000€,1 hab.,50 m²,"Ático en Peniscola, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96894908/
122.000€,3 hab.,65 m²,"Ático en Mare de Deu de Lorda, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96873577/
156.000€,2 hab.,48 m²,"Dúplex en calle de la madriguera, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96570110/
92.000€,3 hab.,60 m²,"Piso en calle de la Mare de Déu de Lorda, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/95278472/
114.000€,3 hab.,68 m²,"Piso en calle del Turó de la Trinitat, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/94893847/
134.500€,3 hab.,67 m²,"Piso en calle de Mireia, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96296455/
148.000€,2 hab.,77 m²,"Ático en Mare de Deu de Lorda, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96913954/
98.000€,3 hab.,65 m²,"Piso en Torrent de Perera, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/87872497/
126.000€,3 hab.,63 m²,"Chalet adosado en calle Turó de la Trinitat, 13, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/1603638/
81.000€,3 hab.,60 m²,"Piso en calle de la Foradada, 44, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/97259963/
81.000€,1 hab.,55 m²,"Piso en calle de la Foradada, 44, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/97251767/
149.000€,3 hab.,91 m²,"Piso en calle de Quito, Baró de Viver, Barcelona",https://www.idealista.com/inmueble/97243330/
168.000€,3 hab.,77 m²,"Piso en paseo de Santa Coloma, Baró de Viver, Barcelona",https://www.idealista.com/inmueble/96883817/
139.900€,3 hab.,88 m²,"Piso en calle de Campins, Baró de Viver, Barcelona",https://www.idealista.com/inmueble/97233142/
163.000€,3 hab.,77 m²,"Piso en paseo de Santa Coloma, Baró de Viver, Barcelona",https://www.idealista.com/inmueble/94098834/
139.995€,3 hab.,75 m²,"Piso en calle de Campins, 12, Baró de Viver, Barcelona",https://www.idealista.com/inmueble/97026038/
249.000€,4 hab.,110 m²,"Dúplex en Baró de Viver, Barcelona",https://www.idealista.com/inmueble/93852897/
170.000€,3 hab.,88 m²,"Piso en paseo de Santa Coloma, Baró de Viver, Barcelona",https://www.idealista.com/inmueble/95710388/
152.500€,2 hab.,80 m²,"Piso en Baró de Viver, Barcelona",https://www.idealista.com/inmueble/95280916/
